HMM,Time
A0A0K2SV87_LEPSM,237.352816
A0A0Q9W122_PECCA,1427.426944
Q7Z8Z3_9SACH,1170.661504
A0A0D9WWX1_9ORYZ,405.260128
T1XEF6_VARPD,7779.354112
A0A072F3A4_VIBPH,854.254208
A0A0H0ZS83_9MICC,1040.250176
Q115E3_TRIEI,449.921280
M1BUJ2_SOLTU,583.618240
A0A0D2RK23_GOSRA,679.629888
C8X312_DESRD,237.968416
A0A0C2AH67_9ACTN,909.696960
A0A0R1J2L2_9LACO,800.345984
A0A074JBV9_9RHOB,474.121088
A0A0M2J3I6_9ACTN,413.877696
A0A0T6KU39_PSEAI,5931.026944
A0A0P1MDT8_9BACT,573.595520
A2TKD0_9PARA,682.087424
A0A0S4HVB8_9PSED,353.483840
J3IBV8_9PSED,143.976352
A0A0P6X0X6_9CHLR,563.373568
A0A087G8L9_ARAAL,301.034656
A0A0Q7B7A2_9BURK,615.441280
C8TC02_KLEPR,481.544288
A0A0P9NSP5_PSESX,1046.437568
F8S5V2_HPV67,585.333248
I4HYU4_MICAE,177.747312
A0A0V9K2F0_KLEPN,8277.552128
H4EZV6_9RHIZ,608.717248
A0A0D4ULB3_YEASX,553.247296
D7CCS3_STRBB,335.608512
V6GL22_9LEPT,555.198592
K7XKF0_9HEPC,877.303936
A0A0C6BB88_YEASX,635.647936
G5RZ68_SALET,253.698912
A0A0N4T2C5_BRUPA,416.494944
A0A0P6XKB2_9CHLR,245.592112
A0DD59_PARTE,107.572896
A0A0P7JN00_9MYCO,232.183232
A0A0R0V838_ACIBA,271.444992
A0A087LKF0_9RHIZ,282.328896
A0A0A9RCC7_ARUDO,124.182336
A0A0D2DW88_9EURO,274.071648
R7Y995_9ACTN,262.389120
F3AQB2_9FIRM,1849.470976
M1FFL1_9TELE,1094.148224
B0DAB4_LACBS,2630.455040
D6P1K5_9HIV1,262.814320
A0A0V4REG3_PSEAI,966.739968
G9YPX2_9FIRM,113.843976
