HMM,Time
A0A0K2SV87_LEPSM,0.548706
A0A0Q9W122_PECCA,3.115773
Q7Z8Z3_9SACH,3.088524
A0A0D9WWX1_9ORYZ,1.000914
T1XEF6_VARPD,17.149484
A0A072F3A4_VIBPH,1.921101
A0A0H0ZS83_9MICC,2.227025
Q115E3_TRIEI,1.155929
M1BUJ2_SOLTU,1.690661
A0A0D2RK23_GOSRA,1.596126
C8X312_DESRD,0.593418
A0A0C2AH67_9ACTN,2.112489
A0A0R1J2L2_9LACO,1.656827
A0A074JBV9_9RHOB,1.154144
A0A0M2J3I6_9ACTN,0.988972
A0A0T6KU39_PSEAI,13.762283
A0A0P1MDT8_9BACT,2.254969
A2TKD0_9PARA,1.696149
A0A0S4HVB8_9PSED,0.834308
J3IBV8_9PSED,0.417860
A0A0P6X0X6_9CHLR,1.316827
A0A087G8L9_ARAAL,0.748302
A0A0Q7B7A2_9BURK,1.460172
C8TC02_KLEPR,1.495061
A0A0P9NSP5_PSESX,2.280301
F8S5V2_HPV67,1.437155
I4HYU4_MICAE,0.444161
A0A0V9K2F0_KLEPN,19.118912
H4EZV6_9RHIZ,1.581869
A0A0D4ULB3_YEASX,1.527083
D7CCS3_STRBB,0.830591
V6GL22_9LEPT,1.408599
K7XKF0_9HEPC,3.220830
A0A0C6BB88_YEASX,1.555784
G5RZ68_SALET,0.648146
A0A0N4T2C5_BRUPA,1.020165
A0A0P6XKB2_9CHLR,0.680027
A0DD59_PARTE,0.283778
A0A0P7JN00_9MYCO,0.578869
A0A0R0V838_ACIBA,0.677357
A0A087LKF0_9RHIZ,0.663798
A0A0A9RCC7_ARUDO,0.286064
A0A0D2DW88_9EURO,0.748650
R7Y995_9ACTN,0.655686
F3AQB2_9FIRM,4.532188
M1FFL1_9TELE,3.401074
B0DAB4_LACBS,5.602295
D6P1K5_9HIV1,0.636212
A0A0V4REG3_PSEAI,2.273790
G9YPX2_9FIRM,0.339171
