HMM,Time
XYNA_THEMA,10.959438
GLGC_BURP8,6.292465
H6_ONCMY,1.471835
XYLG_YERPA,57.636476
BP40_BPPHE,2.398202
MURD_CUPMC,9.202723
NTPA_BRASB,3.522088
RS14_ACICJ,1.823111
RIMO_BDEBA,6.365184
FDFT_USTMA,6.284886
PROF1_STRPU,2.061779
SMAG1_RAT,6.431034
HTPX_SERP5,4.163293
CLPB_ECOL6,20.183066
YO13_BPHC1,2.357734
Y5318_PSEAB,4.053858
PIMT_SHIB3,3.526061
P10_ASFWA,1.420847
MSCL_HAEDU,2.424874
KCD15_HUMAN,3.926476
TLX3_HUMAN,4.902785
KDUI_YERE8,3.277139
TRG_CUPNH,3.915560
YAEH_SALTY,2.059253
RS18_METPP,1.589576
MNME_PSYIN,8.378116
ECM14_LEPMJ,6.783704
EVI1B_XENLA,30.562292
PUR9_CLOBL,6.022165
PRGJ_SALTY,1.707118
GCSH_BORA1,2.092915
SPEH_BACCN,2.197912
EFTS_HAHCH,3.698410
RBL_PINPS,1.518175
SYC_BURCC,7.853172
OPSV_ORYLA,6.247704
SYE1_BRUSU,6.740034
RM11_RECAM,2.262836
QUEA_BACMF,4.130311
MT2H_BOVIN,1.493811
EMC4_HUMAN,2.528474
RS5_ANAMM,2.587597
FTSH3_ORYSJ,18.091922
HTPX_BURP0,4.301259
RMLB_MYCTO,7.913589
LEXA_RHORT,3.792170
RS3_AGRRK,3.340087
META_SYNP6,3.619621
PYRK_METAC,4.106779
CYSK_YEAST,7.195716
