HMM,Time
XYNA_THEMA,177.229744
GLGC_BURP8,100.337432
H6_ONCMY,23.392804
XYLG_YERPA,845.840128
BP40_BPPHE,38.660152
MURD_CUPMC,140.165376
NTPA_BRASB,55.237320
RS14_ACICJ,28.875800
RIMO_BDEBA,98.349664
FDFT_USTMA,98.333576
PROF1_STRPU,32.834202
SMAG1_RAT,103.294904
HTPX_SERP5,64.682524
CLPB_ECOL6,298.760160
YO13_BPHC1,37.182328
Y5318_PSEAB,62.871060
PIMT_SHIB3,55.740092
P10_ASFWA,21.903992
MSCL_HAEDU,37.169504
KCD15_HUMAN,62.062128
TLX3_HUMAN,75.806464
KDUI_YERE8,51.336268
TRG_CUPNH,60.209424
YAEH_SALTY,32.370416
RS18_METPP,24.883800
MNME_PSYIN,127.093984
ECM14_LEPMJ,107.605624
EVI1B_XENLA,468.440416
PUR9_CLOBL,94.198480
PRGJ_SALTY,26.381656
GCSH_BORA1,33.039130
SPEH_BACCN,34.538500
EFTS_HAHCH,57.242960
RBL_PINPS,21.245536
SYC_BURCC,120.098048
OPSV_ORYLA,94.702608
SYE1_BRUSU,104.690352
RM11_RECAM,35.167792
QUEA_BACMF,65.483476
MT2H_BOVIN,23.376848
EMC4_HUMAN,40.778984
RS5_ANAMM,40.015108
FTSH3_ORYSJ,273.668608
HTPX_BURP0,68.570336
RMLB_MYCTO,119.977912
LEXA_RHORT,58.684176
RS3_AGRRK,51.953096
META_SYNP6,57.170008
PYRK_METAC,63.837640
CYSK_YEAST,113.752968
